neutral-17 => 複雜
neutral-18 => 搖擺
neutral-19 => 金屬感
neutral-20 => 高科技
neutral-21 => 卷曲的
neutral-22 => 硬邦邦的
neutral-23 => 固體的
neutral-24 => 毛絨絨的
neutral-25 => 乾燥
neutral-26 => 巨大
neutral-27 => 主題
neutral-28 => 純粹的
neutral-29 => 持續的
neutral-30 => 連續的
neutral-31 => 公開
neutral-32 => 柔軟
neutral-33 => 熟悉
neutral-34 => 實驗性
neutral-35 => 正式的
neutral-36 => 清脆
neutral-37 => 平滑
neutral-38 => 化學的
neutral-39 => 退休
neutral-40 => 指導
neutral-41 => 水平
neutral-42 => 上漲
neutral-43 => 前傾
neutral-44 => 向左
neutral-45 => 向右
neutral-46 => 停留
neutral-47 => 反光的
neutral-48 => 現在的
neutral-49 => 古早的
neutral-50 => 視覺上的
neutral-51 => 充滿水分的
neutral-52 => 風化的
neutral-53 => 典型
neutral-54 => 物理的
neutral-55 => 政治
neutral-56 => 可預測的
neutral-57 => 充滿的
neutral-58 => 隱私
neutral-59 => 宗教的
neutral-60 => 驚喜
neutral-61 => 聲光
neutral-62 => 改變
neutral-63 => 生鏽的
neutral-64 => 皮製的

c-0 => negative-26
c-1 => negative-169
c-2 => negative-88
c-3 => negative-235
c-4 => negative-246
c-5 => negative-291
c-6 => negative-32
c-7 => negative-228
c-8 => negative-19
c-9 => negative-287
c-10 => negative-119
c-11 => negative-181
c-12 => negative-143
c-13 => negative-184
c-14 => negative-168
c-15 => negative-182
c-16 => negative-276
c-17 => negative-85
c-18 => negative-57
c-19 => negative-152
c-20 => negative-274
c-21 => negative-273
c-22 => negative-11
c-23 => negative-121
c-24 => negative-255
c-25 => negative-36
c-26 => negative-106
c-27 => negative-242
c-28 => negative-93
c-29 => negative-134
c-30 => negative-105
c-31 => negative-295
c-32 => negative-5
c-33 => negative-250
c-34 => negative-112
c-35 => negative-104
c-36 => negative-120
c-37 => negative-65
c-38 => negative-126
c-39 => negative-73
c-40 => negative-7
c-41 => negative-286
c-42 => negative-283
c-43 => negative-102
c-44 => negative-12
c-45 => negative-241
c-46 => negative-264
c-47 => negative-41
c-48 => negative-244
c-49 => negative-17

i-0 => neutral-1
i-1 => neutral-3
i-2 => neutral-4
i-3 => neutral-13
i-4 => neutral-14
i-5 => neutral-17
i-6 => neutral-20
i-7 => neutral-21
i-8 => neutral-27
i-9 => neutral-29
i-10 => neutral-30
i-11 => neutral-35
i-12 => neutral-37
i-13 => neutral-39
i-14 => neutral-40
i-15 => neutral-42
i-16 => neutral-43
i-17 => neutral-44
i-18 => neutral-45
i-19 => neutral-48
i-20 => neutral-50
i-21 => neutral-55
i-22 => neutral-60
i-23 => neutral-61
i-24 => neutral-62

debug-0 => c_17
debug-1 => i_9
debug-2 => c_8
debug-3 => c_30
debug-4 => c_3
debug-5 => c_13
debug-6 => c_48
debug-7 => c_18
debug-8 => i_20
debug-9 => c_23
debug-10 => c_35
debug-11 => c_4
debug-12 => i_10
debug-13 => c_29
debug-14 => i_1
debug-15 => i_21
debug-16 => c_21
debug-17 => c_15
debug-18 => i_12
debug-19 => c_19
debug-20 => c_47
debug-21 => c_31
debug-22 => i_8
debug-23 => c_6
debug-24 => c_34
debug-25 => i_16
debug-26 => c_39
debug-27 => i_14
debug-28 => c_40
debug-29 => i_22
debug-30 => c_36
debug-31 => c_7
debug-32 => i_19
debug-33 => c_26
debug-34 => c_25
debug-35 => c_12
debug-36 => c_44
debug-37 => i_24
debug-38 => c_27
debug-39 => c_28
debug-40 => i_18
debug-41 => c_49
debug-42 => i_13
debug-43 => c_11
debug-44 => i_4
debug-45 => c_9
debug-46 => c_10
debug-47 => i_2
debug-48 => i_11
debug-49 => i_7
debug-50 => i_0
debug-51 => c_37
debug-52 => c_20
debug-53 => i_23
debug-54 => c_14
debug-55 => c_5
debug-56 => i_3
debug-57 => c_38
debug-58 => c_22
